2018/01/02 18:48:10.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:11.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:12.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:13.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:14.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:15.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:16.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:17.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:18.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:19.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:20.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:21.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:22.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:23.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:24.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:25.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:26.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:27.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:28.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:29.125,1.00,1.00,1.00,1.00
2018/01/02 18:48:30.125,1.00,1.00,1.00,1.00
