5.35,3.50,13.42,3.20
5.33,4.02,13.35,3.16
5.21,4.36,12.86,3.27
5.05,4.40,12.37,3.42
5.02,4.57,11.84,4.01
5.05,4.71,10.96,4.63
4.86,5.15,10.16,5.19
4.63,5.61,9.47,5.81
4.54,5.73,8.85,6.43
4.60,5.75,8.19,7.02
4.64,5.77,7.54,7.59
4.85,5.70,6.90,8.30
4.93,5.48,6.11,9.15
4.99,5.36,5.10,10.16
5.05,5.22,4.02,11.55
5.04,4.82,3.24,13.09
4.98,4.71,2.79,14.20
4.96,4.61,2.57,14.85
5.13,4.44,2.59,15.49
5.40,4.13,2.76,15.42
5.48,3.95,2.89,15.10
5.26,4.11,2.91,14.80
4.76,4.76,2.82,14.44
4.19,5.84,2.73,13.78
3.80,6.75,2.86,12.89
3.60,7.47,3.44,11.85
3.37,7.96,4.36,10.47
2.98,8.65,5.34,8.71
2.71,9.40,6.71,6.94
2.61,9.54,8.64,5.28
2.68,8.98,10.49,4.04
2.97,6.65,12.18,3.39
3.35,5.37,13.42,3.13
3.77,4.43,14.15,3.08
4.34,3.64,14.49,3.15
5.00,3.03,14.28,3.28
5.53,2.75,13.65,3.53
5.82,2.80,12.67,4.04
5.87,3.05,11.41,4.91
5.87,3.31,9.64,6.15
5.89,3.42,7.22,8.16
5.70,3.50,4.81,10.94
5.17,3.64,3.14,13.51
4.46,4.27,2.36,15.01
3.77,5.56,2.01,15.21
3.44,6.76,1.86,14.59
3.41,7.42,1.97,14.03
3.61,7.31,2.95,13.07
3.95,6.64,6.08,9.86
3.94,5.83,10.26,5.84
3.75,5.20,12.66,3.69
3.78,4.88,13.18,3.37
4.05,4.76,11.74,4.81
